,warehouse_id,manager,location,capacity(in thousands)
0,9RTQ335,Daniel Mcdaniel,Jonesberg,97
1,4WZM128,Erica Gibson,Underwoodview,94
2,XGZ-9038,Robin Sloan,East Amy,58
3,OTO-7055,Brian Brandt,Port Ian,33
4,HKU-5853,Gary Alvarez,Francisville,38
5,7CCK975,Mary Hawkins,Hoodland,44
6,KWA-8459,Rebecca Yang,Randyport,89
7,FOA-732,Sabrina Beard,Lake Patrick,36
8,ZYK-254,Barbara Lutz,Jordanmouth,50
9,CJY-707,Pamela Ray,Zacharychester,42
10,LNU-2575,Ashley Schwartz,Michaeltown,74
11,VZF-800,Ronald Chavez,West Kevin,36
12,MTR-0983,Kenneth Erickson,South Jerry,95
13,CKL-7664,Keith Murphy,East Laurieberg,70
14,IKC-110,Kimberly Marsh,Archerburgh,36
15,QJW-8564,Wanda French,East Andres,99
16,TLN-1813,Clayton Reynolds,West Robinmouth,71
17,WEJ-589,Linda Kane,Joshuafort,80
18,PWU-9494,Matthew Sexton,East David,81
19,WYW-052,Curtis Roberts,South Jennachester,88
20,8XNR344,Kerry Aguilar,Pittsberg,43
21,2DRW624,Jennifer King,Mitchellberg,81
22,PAA-8618,Catherine Dennis,New Jacobmouth,73
23,JUY-084,Cathy Powell,South Cherylmouth,42
24,RUR-060,Luis Shaffer,Port Brookeburgh,67
25,FYD-187,Juan Curtis,South Kelly,61
26,4ZFM561,Erin Cunningham,West Patrick,81
27,IIC-836,Kimberly Atkinson,Brianaland,31
28,SZZ-4032,Ms. Emily Wall MD,New Bruceshire,46
29,QPL-3325,Katherine Hughes,Rivasmouth,99
30,UGG-9934,Dennis Vaughan,Port Joel,47
31,8PKX656,Kimberly Myers,East Lisa,60
32,UEE-2692,Jeffrey Kelley,Lake Nicholasshire,75
33,4RUR773,Garrett Benson,East Matthew,32
34,9VWW974,Abigail Smith,Salasstad,67
35,2PVS255,Bryan Elliott,Andersonport,96
36,7HKB193,Deborah Parsons,West Christinaport,41
37,9IPG285,Pamela Powers,Jacobborough,94
38,UWU-226,Susan Chase,Reginachester,100
39,5CJQ633,Meghan Clark,East Robert,45
40,3WBT456,Jasmin Alvarado,Samanthafort,84
41,SYH-5183,Patricia Pittman,Robinmouth,71
42,4ACP656,Paul Kim,New Jamesland,59
43,UUC-451,Calvin Howell,Isaacside,64
44,ZIZ-871,Joseph Kennedy,Lauraborough,49
45,9WEX211,Andrew Larson,Shelbyborough,84
46,4KQN878,Anna Miller,Nicoleburgh,75
47,UUC-2404,Chris Holt,Port Rachael,67
48,2YLN844,Alice Lyons,North Marie,90
49,ITY-2430,Mark Hicks,Lake Carmen,96
50,ZXR-9512,Brian Boyer,North Jared,69
51,2NBE881,Wendy Garner,North Jermaineland,94
52,1ZCG732,Eric Hicks,Gutierrezburgh,57
53,GBQ-193,Richard Miller,North Johnfurt,30
54,RCX-562,Heather Perry,East Joshuahaven,90
55,9WJH181,Tiffany Jones,Lake Steven,73
56,VWF-7093,Rose Cochran,Donaldberg,93
57,UDF-4845,Rachel Lynch,West Nathanchester,64
58,5MVC835,Jacob Fox,East Veronica,81
59,URA-0156,Jennifer Lopez,South Robertochester,84
60,SGZ-2134,Jennifer Carter,East Julieville,36
61,BSF-2948,John Martinez,Pricefurt,45
62,OGM-6730,Kevin Mcknight,Port Linda,93
63,UNU-8101,Brian Coleman,Teresafurt,49
64,IJS-321,Bryan Adams,East Mary,100
65,5LQQ625,Mary Leonard,Troyfurt,39
66,ZLJ-396,Kristina Davis,Lawrencetown,35
67,DYN-079,Ashley Freeman,New Jeremy,41
68,URV-070,Kenneth Smith,Louisfurt,39
69,TIR-823,Joel Oneal,Moralesmouth,52
70,4VJW261,Samantha Willis,Smithshire,39
71,UGI-8443,Mary Jackson PhD,North Codyport,74
72,BQI-5245,Amanda Castillo,Garzashire,35
73,EBE-591,Carlos Gilbert,Raymondport,90
74,5ZYH314,Marcia Mendoza,Scottville,32
75,QCG-2085,Shannon Brown,Katiefort,39
76,VXW-2178,Robert Burke,Adamstown,71
77,IZU-136,Samantha Richardson,South Alexandraport,99
78,XWQ-5777,Thomas Evans,Lake Brianville,35
79,2ESV958,Lauren Blake,Benjaminhaven,50
80,DXL-8415,Julie Avila,South Anna,85
81,JRO-632,Michael Walker,Jerrychester,36
82,SOI-519,Amy Taylor,Port Kari,83
83,QEL-892,April Day,East Robertmouth,45
84,DKF-2476,Jeffrey Johnson,South Erin,100
85,9WJU447,Erica Edwards,New Brian,77
86,POB-2714,James Boyd,Port Jennifer,84
87,6NEM979,Jennifer Brown,Port Timothyland,61
88,ZLF-887,Robert Haynes,Ellisonhaven,52
89,YPR-2191,Jeremy Hernandez,Lake Jessica,71
90,HCW-8161,Theresa Swanson,Amyhaven,37
91,5MTT595,Amanda Herring,Lake Aaron,50
92,CIA-696,Billy Adkins,West Steve,86
93,3QSX755,Robert Dean,New Stephanie,55
94,2DJO432,Patricia Luna PhD,Livingstonmouth,46
95,KMR-277,Roger Chavez,Taylorland,93
96,XWM-633,Scott Montgomery,New David,95
97,3GYO991,Heather Reese,Port Ashleybury,39
98,FAY-1920,Diane Nichols,Nancyside,57
99,OBS-156,David Williams,West Nathan,48
100,IEB-697,Emily Collins,Robertsside,43
101,VEY-706,Jeffrey Reynolds,Parkville,92
102,OFF-9481,Dustin Cole,Morganbury,41
103,LPC-6098,Eric Brown,Dawnshire,62
104,5WIV644,Thomas Cunningham,North Katherineton,42
105,GRZ-410,Jason Daniels,New Brendaville,80
106,2UQO248,Misty Jackson,West Samantha,38
107,SOR-552,Javier Jackson,Teresaton,99
108,KNV-483,Kyle Adams,Ruizborough,63
109,JVY-970,Selena Bradley,New Joeside,66
110,QVZ-1085,Rose Blevins DDS,Lake Steven,92
111,MRA-078,Brian Curry,Lewisshire,84
112,3TFN915,Travis Peterson,Delacruzhaven,35
113,KJR-4908,Denise Murray,Melissastad,95
114,QGG-813,Whitney Rosales,South Jennifer,33
115,GDN-1225,Susan Robertson MD,Kimberlyhaven,37
116,1VRC938,Kristin Lewis,South Harold,49
117,ZUB-443,Eric Ross,Cainbury,64
118,4WSO229,Veronica Sanchez,North Derrick,53
119,3FNJ781,Kenneth Nguyen,Georgeside,42
120,9WPE433,Tracy Simpson,Danielborough,45
121,UOL-460,Ellen Huang,Leonardland,91
122,QXG-668,Russell Black,Matthewbury,87
123,3IVE222,Joseph Stevens,Port Shawn,76
124,KXA-4701,Michael Ward,Port Brandon,47
125,2FTN152,Charles Hardy MD,South Stephanie,98
126,AUE-0698,Susan Ingram,East Stephaniemouth,64
127,XUH-167,Charles Sanders,West Maureen,90
128,LHG-8509,Joel Summers,Castroton,87
129,4IKS815,Sarah Wright,Port Ashley,87
130,6GZU323,Johnny Tucker,East Miranda,36
131,NSS-1585,Bryce Zavala,Reedborough,61
132,YBW-1518,Katherine Williams,Lake Marissaburgh,86
133,8EGP133,Jerry Chung,New Sarahtown,36
134,7ITY352,Kimberly Dennis,Melindashire,68
135,7QGM752,Cory Miller,North Victoria,38
136,LUQ-347,Joseph Bridges,Danielchester,66
137,5TDA456,Kayla Hall,North Joseph,51
138,PKX-9330,Christopher Dawson,Port Grantside,49
139,MFP-4138,Jennifer Hubbard,Port Wesleyshire,59
140,VHK-9360,Jose Mcintosh,Wilkersonborough,30
141,HWK-469,Nicholas Edwards,North Johnville,95
142,4JBM131,Sarah Sims MD,Dawnfort,58
143,KIA-0721,James Graves,South Thomas,77
